"","resid_Place","resid_identity","pid7","PARTY","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_Socialist","FT_capitalist","FT_rural","FT_WHO","FT_CDC","ideo7","gender","race","educ","income","age","Voted_2020"
"2928","Small Town","Country Person",5,"Republican",0,50,0,98,0,100,0,49,5,0,0,25,75,50,50,1,0,50,50,75,5,50,0,0,0,75,95,0,25,6,"Male","White","Bachelor's Degree",6,58,1
"2929","City","City Person",1,"Democrat",100,0,100,0,100,0,100,50,100,100,85,60,15,60,100,15,100,100,100,100,100,100,100,100,NA,100,50,100,100,4,"Male","Native American","Bachelor's Degree",9,67,1
"2930","Small Town","Small Town Person",2,"Democrat",70,15,70,0,85,0,85,40,50,85,85,40,40,70,50,40,50,40,50,70,50,85,70,85,60,60,70,70,85,3,"Male","White","High School",2,61,1
"2931","Suburb","City Person",4,"Independent",50,60,40,40,40,50,70,60,70,60,60,50,60,70,60,50,60,70,50,70,60,70,70,60,50,60,70,85,85,4,"Female","Other","Some College",10,34,1
"2932","Small Town","Small Town Person",2,"Democrat",85,40,50,0,70,0,30,70,70,70,85,70,60,60,85,60,85,80,85,90,85,85,100,60,55,50,50,85,85,4,"Female","White","High School",2,80,0
"2933",NA,NA,7,"Republican",0,60,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Male","White","High School",15,45,0
"2934","Rural Area","Small Town Person",6,"Republican",0,85,0,100,0,100,0,0,30,0,85,40,60,40,40,40,30,15,50,70,0,85,15,50,50,40,85,30,30,NA,"Male","Hispanic","High School",8,30,1
"2935","Small Town","Small Town Person",6,"Republican",15,70,50,70,NA,100,50,100,20,0,50,70,100,80,20,10,40,100,100,100,20,60,0,50,0,90,100,20,10,6,"Female","White","High School",12,80,1
"2936","Suburb","Suburb Person",5,"Republican",0,30,40,70,50,85,60,60,40,70,40,40,60,85,70,15,70,85,85,70,50,70,0,0,30,50,70,40,60,5,"Male","White","Graduate Degree",21,60,1
"2937","Rural Area","Country Person",5,"Republican",0,60,0,100,0,100,NA,85,0,0,15,50,100,60,50,40,15,100,85,85,50,60,0,0,0,60,85,30,50,6,"Male","White","High School",3,76,1
"2938","City","Suburb Person",7,"Republican",50,90,50,90,15,100,90,40,50,60,75,90,50,90,50,95,50,50,70,90,35,90,50,85,65,90,70,90,95,6,"Male","Hispanic","Bachelor's Degree",17,47,0
"2939","Rural Area","Country Person",6,"Republican",50,50,40,60,60,60,70,50,70,30,85,60,70,60,50,50,30,100,85,100,40,50,30,50,15,50,NA,50,70,6,"Female","White","Bachelor's Degree",5,50,0
"2940",NA,NA,7,"Republican",0,85,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Male","White","High School",6,57,0
"2941","Small Town","Small Town Person",2,"Democrat",60,40,60,15,70,40,75,50,60,65,40,40,50,50,50,50,60,40,75,70,50,80,60,50,70,55,70,65,65,3,"Male","White","Some College",9,35,0
"2942","Suburb","Country Person",4,"Independent",50,15,50,0,70,0,85,100,100,100,100,70,100,100,100,85,100,100,100,85,100,100,100,85,100,70,100,100,100,3,"Female","Hispanic","Bachelor's Degree",17,41,1
"2943","City","City Person",1,"Democrat",60,15,70,0,70,0,85,40,100,70,85,40,40,50,85,50,85,70,85,40,85,100,85,60,70,40,50,50,50,2,"Female","White","Graduate Degree",18,26,1
"2944","Suburb","Suburb Person",5,"Republican",50,0,85,0,85,0,100,0,60,30,40,0,0,50,70,40,50,40,50,30,40,85,40,85,50,0,15,100,100,4,"Male","White","High School",NA,NA,1
"2945","Small Town","Country Person",4,"Independent",60,60,1,70,60,70,NA,60,60,60,60,60,60,60,60,60,60,60,60,60,60,50,60,60,NA,60,60,NA,60,4,"Male","White","High School",1,44,0
"2946","Rural Area","Country Person",7,"Republican",30,85,50,85,15,60,50,50,50,15,50,50,50,15,40,15,50,90,60,30,10,70,40,50,20,50,40,20,60,NA,"Female","White","High School",NA,80,1
"2947","Suburb","Small Town Person",7,"Republican",15,85,0,100,0,85,60,80,40,15,30,60,80,75,70,15,30,95,85,100,50,85,0,15,0,80,100,40,55,6,"Male","White","Some College",15,77,1
"2948","City","City Person",1,"Democrat",60,10,70,0,80,0,95,0,95,90,70,40,50,80,100,30,95,95,95,80,100,100,90,90,75,70,75,100,85,2,"Male","White","Graduate Degree",22,65,0
"2949","City","City Person",1,"Democrat",85,15,100,15,100,0,100,50,50,80,100,50,50,90,70,0,70,70,100,100,70,100,70,100,50,50,50,100,100,4,"Male","Hispanic","Some College",17,79,1
"2950","City","City Person",1,"Democrat",100,0,100,0,100,0,100,100,50,NA,100,100,70,15,100,100,70,100,50,0,100,100,100,50,NA,NA,NA,70,100,NA,"Male","Black","Less than High School",1,70,0
"2951",NA,NA,1,"Democrat",70,30,85,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Male","Black","High School",4,27,0
"2952","Small Town","Suburb Person",1,"Democrat",60,15,70,0,85,0,50,30,90,50,NA,50,25,NA,100,40,100,25,100,45,100,95,70,50,NA,50,50,90,95,2,"Male","White","Bachelor's Degree",21,29,1
"2953","Suburb","Small Town Person",6,"Republican",40,50,50,60,70,80,85,85,70,75,70,70,70,85,60,70,50,85,85,75,60,95,30,70,50,75,85,70,100,3,"Male","White","Some College",19,73,1
"2954","Small Town","Small Town Person",3,"Democrat",40,40,50,0,50,0,60,50,85,60,85,15,50,70,100,50,85,50,85,40,100,100,100,85,50,50,NA,85,85,NA,"Female","Hispanic","Some College",8,20,1
"2955","Suburb","City Person",1,"Democrat",85,30,100,0,100,0,100,0,85,85,100,40,40,15,100,85,100,60,100,60,100,100,100,85,85,60,50,85,85,1,"Female","Black","Graduate Degree",19,44,0
"2956","Small Town","Small Town Person",7,"Republican",0,85,0,100,0,100,0,NA,NA,NA,50,NA,NA,70,100,25,15,100,100,100,100,70,0,15,NA,NA,100,30,30,NA,"Male","White","High School",3,72,1
"2957","City","City Person",1,"Democrat",100,30,100,0,100,0,50,0,100,100,100,70,60,100,100,100,100,0,100,60,100,100,100,100,0,70,100,70,50,3,"Male",NA,"High School",NA,46,1
"2958",NA,NA,7,"Republican",15,70,15,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Male","White","High School",7,54,0
"2959","Rural Area","Country Person",4,"Independent",0,50,15,60,45,45,80,65,65,40,50,45,55,75,50,15,50,80,80,80,50,80,30,40,0,55,85,70,70,4,"Male","White","Some College",10,69,0
"2960","Suburb","Suburb Person",1,"Democrat",70,15,85,0,100,0,85,50,70,50,100,50,50,50,100,50,50,85,85,85,100,85,70,85,50,30,85,70,70,4,"Female","White","Some College",16,48,1
"2961","Rural Area","Country Person",5,"Republican",15,100,15,100,0,100,85,60,50,40,60,60,60,60,50,60,50,100,50,85,30,85,40,50,15,50,100,NA,100,6,"Female","White","High School",NA,NA,1
"2962","City","City Person",1,"Democrat",60,40,100,0,100,0,40,NA,85,85,100,40,90,55,100,55,100,100,100,100,100,55,100,50,NA,NA,NA,NA,40,4,"Male","White","High School",18,40,1
"2963","Small Town","Suburb Person",4,"Independent",60,40,70,30,85,30,100,50,70,60,70,70,60,60,60,70,50,85,85,70,70,100,85,70,70,70,70,85,85,4,"Female","Asian","Graduate Degree",18,78,1
"2964","Small Town","Small Town Person",7,"Republican",15,100,0,75,0,85,70,50,20,0,0,50,30,85,85,40,50,85,50,85,85,85,0,15,0,NA,50,NA,60,6,"Male","White","Bachelor's Degree",20,49,1
"2965","City","City Person",4,"Independent",40,50,70,0,70,0,100,50,40,50,50,85,50,100,60,60,50,100,85,100,60,100,50,50,50,100,70,100,100,4,"Male","White","Bachelor's Degree",19,77,1
"2966","City","Suburb Person",5,"Republican",25,82,60,60,40,30,100,60,75,70,0,60,80,70,90,65,50,70,85,95,75,90,0,50,15,70,90,40,100,2,"Male","White","Graduate Degree",21,65,1
"2967","City","City Person",3,"Democrat",70,30,70,0,85,0,85,60,100,70,NA,60,60,60,85,60,85,100,85,85,70,70,100,60,40,0,85,85,85,4,"Female","White","Some College",21,58,0
"2968","Suburb","Suburb Person",4,"Independent",60,40,85,0,70,0,60,50,60,50,50,30,50,60,50,40,50,60,85,80,50,60,60,40,50,30,50,50,60,4,"Female","White","Bachelor's Degree",10,58,1
"2969","City","City Person",3,"Democrat",60,0,60,0,60,0,40,0,85,85,85,30,0,30,100,40,70,15,40,15,100,100,100,85,100,40,50,85,60,1,"Male","Hispanic","Bachelor's Degree",1,31,1
"2970","City","Small Town Person",5,"Republican",30,60,60,60,40,30,100,50,50,60,100,15,60,50,50,40,50,50,50,60,50,85,0,30,0,70,50,50,50,4,"Male","White","Some College",21,35,1
"2971","Suburb","Suburb Person",6,"Republican",15,60,30,70,7,60,85,60,70,30,70,30,70,85,70,60,60,70,70,60,60,85,60,40,30,70,60,40,85,6,"Female","White","Graduate Degree",17,56,1
"2972","Small Town","City Person",1,"Democrat",85,0,100,0,85,0,100,50,90,60,30,25,70,30,100,75,80,80,65,75,100,90,95,85,0,0,80,100,90,2,"Female","Black","Some College",2,58,1
"2973","Small Town","Small Town Person",2,"Democrat",60,5,65,0,80,0,100,0,60,65,80,10,5,50,100,25,50,5,50,80,100,100,15,70,60,45,45,50,50,3,"Male","White","Some College",6,22,1
"2974",NA,NA,4,"Independent",50,30,50,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Female","Asian","Bachelor's Degree",NA,54,0
"2975","Rural Area","Small Town Person",1,"Democrat",85,30,85,0,90,0,100,40,75,85,85,50,50,50,100,40,80,75,90,75,100,100,100,75,75,15,75,90,100,2,"Female","White","Some College",17,49,1
"2976","Suburb","Suburb Person",4,"Independent",40,40,NA,NA,60,40,NA,50,60,50,50,60,50,70,50,40,50,60,50,70,60,85,40,60,50,50,70,60,85,4,"Female","White","Some College",7,68,0
"2977","City","Suburb Person",7,"Republican",10,90,20,100,0,100,40,85,15,10,30,60,80,80,85,30,50,70,70,90,NA,70,0,0,0,100,90,10,60,6,"Female","White","Some College",NA,80,1
"2978","Suburb","Country Person",5,"Republican",NA,NA,0,NA,30,50,30,50,50,15,50,50,50,50,50,30,50,50,50,70,50,50,40,30,50,50,50,50,50,5,"Male","White","High School",NA,NA,1
"2979","Suburb","City Person",5,"Republican",40,50,15,60,40,40,60,30,50,50,50,50,50,100,50,40,50,50,50,100,50,100,50,40,50,50,50,100,100,4,"Female","White","Bachelor's Degree",20,52,1
"2980","City","Small Town Person",1,"Democrat",70,5,80,0,85,0,85,15,50,50,70,50,50,30,50,50,50,50,50,50,50,70,70,70,50,50,50,50,70,2,"Male","White","Graduate Degree",17,44,1
"2981","Suburb","Suburb Person",7,"Republican",15,85,0,100,0,100,0,100,50,30,50,50,85,85,50,40,0,100,100,100,50,50,0,15,0,50,NA,30,30,7,"Male","White","Graduate Degree",9,60,1
"2982","Rural Area","Suburb Person",7,"Republican",0,100,0,100,0,100,50,100,40,20,70,60,100,60,40,50,20,100,100,70,40,70,40,20,0,100,100,50,100,7,"Female","White","Some College",1,59,0
"2983","City","Small Town Person",5,"Republican",10,60,0,100,0,100,0,40,50,15,70,40,60,75,50,60,50,85,85,85,50,85,0,20,0,50,NA,0,30,5,"Female","White","Some College",8,62,1
"2984","Small Town",NA,3,"Democrat",70,15,100,0,85,0,100,60,85,70,70,40,60,40,100,70,100,100,100,85,100,85,100,85,70,40,100,85,85,2,"Female","White","High School",4,70,1
"2985","Small Town","City Person",3,"Democrat",60,50,85,0,85,0,85,85,70,70,60,70,70,50,50,40,70,85,70,85,70,85,NA,30,70,50,70,70,85,4,"Female","Other","Some College",4,67,1
"2986","Suburb","Suburb Person",1,"Democrat",70,0,85,0,100,0,0,0,85,100,85,100,50,50,100,50,100,85,100,60,100,100,100,100,100,50,NA,NA,100,4,"Male","Black","Some College",10,40,1
"2987","City","Small Town Person",3,"Democrat",30,0,65,0,75,0,90,0,90,60,75,10,50,60,70,40,75,50,99,5,85,90,100,100,70,30,65,70,85,1,"Female","White","Graduate Degree",16,43,1
"2988","City","Suburb Person",4,"Independent",15,60,15,70,40,100,30,85,70,0,30,70,100,70,50,0,40,100,100,85,50,60,15,0,0,85,100,NA,60,4,"Male","White","High School",NA,74,1
"2989","Small Town","Small Town Person",7,"Republican",15,85,15,85,0,100,40,85,50,40,50,50,100,60,50,50,30,85,50,85,15,70,0,40,0,85,85,50,50,6,"Female","Native American","High School",12,56,1
"2990","Suburb","Country Person",1,"Democrat",100,0,50,50,85,0,50,50,0,50,60,40,50,40,50,30,50,85,50,0,50,100,100,40,50,0,100,NA,50,4,"Male","Hispanic","Less than High School",1,35,0
"2991",NA,NA,2,"Democrat",70,25,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Female","White","Bachelor's Degree",11,27,0
"2992","Suburb","Small Town Person",2,"Democrat",NA,30,50,10,60,30,85,0,70,70,60,85,0,70,85,60,70,0,30,85,70,100,100,40,60,40,50,100,100,2,"Female","White","Some College",9,24,1
"2993","City","City Person",3,"Democrat",30,50,30,30,15,0,0,60,80,70,100,40,60,85,95,60,85,60,70,60,40,90,70,70,50,40,100,40,50,3,"Female","Black","Bachelor's Degree",12,32,1
"2994","Rural Area","Country Person",2,"Democrat",50,60,15,85,0,85,50,50,50,30,85,40,50,15,50,50,15,100,50,85,50,50,0,50,50,50,50,60,100,NA,"Male","White","High School",9,58,1
"2995","Small Town","Small Town Person",6,"Republican",15,70,15,85,15,85,NA,85,100,50,70,85,85,60,85,70,85,85,100,30,85,85,85,100,NA,NA,NA,NA,85,5,"Male","White","High School",6,32,0
"2996",NA,NA,6,"Republican",50,70,75,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","Hispanic","High School",2,33,0
"2997","Small Town","Suburb Person",7,"Republican",0,100,0,100,0,100,70,70,85,40,40,85,70,100,70,50,40,85,100,100,80,60,50,50,0,50,85,85,70,4,"Female","White","Some College",5,NA,1
"2998","Suburb","Suburb Person",NA,NA,0,0,0,0,100,0,40,0,0,0,8,77,7,83,0,95,60,8,60,0,100,0,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2999","City","Small Town Person",5,"Republican",40,70,30,85,40,40,50,85,30,50,50,50,NA,50,0,50,30,85,70,70,0,85,30,50,50,NA,85,50,60,4,"Male","White","High School",2,80,0
"3000","City","Suburb Person",1,"Democrat",85,0,100,0,100,0,100,50,100,100,85,15,0,85,100,30,100,100,100,100,100,100,100,100,100,30,100,100,100,1,"Female","Black","Bachelor's Degree",1,71,1
"3001","City","Suburb Person",4,"Independent",30,50,70,0,51,15,65,50,51,50,50,50,51,50,50,50,50,50,50,55,50,85,50,50,50,51,50,51,70,4,"Male","White","Graduate Degree",7,69,1
"3002","Suburb","City Person",6,"Republican",30,60,30,60,40,60,100,40,60,40,85,60,60,30,85,30,30,85,85,85,50,85,15,15,15,40,NA,85,85,4,"Female","White","Bachelor's Degree",NA,NA,0
"3003","Suburb","City Person",2,"Democrat",95,35,90,10,100,10,50,50,50,100,90,40,30,90,70,80,60,50,50,75,50,90,90,80,60,40,50,50,NA,2,"Male","Asian","High School",NA,26,0
"3004","Suburb",NA,3,"Democrat",70,0,70,0,70,0,80,0,70,85,70,70,50,80,60,30,30,40,70,60,40,100,80,90,70,60,40,60,50,2,"Male","White",NA,15,63,1
"3005","City","City Person",1,"Democrat",85,0,100,0,100,0,90,NA,90,75,100,70,45,40,95,60,85,85,95,60,90,100,100,65,NA,NA,75,70,85,4,"Male","Black","Some College",16,71,1
"3006","City","City Person",5,"Republican",0,40,30,60,0,60,70,40,60,50,25,40,40,95,100,40,100,50,100,90,100,85,95,65,45,45,100,75,85,3,"Female","White","Some College",15,56,0
"3007","Rural Area","Small Town Person",4,"Independent",NA,NA,30,50,30,60,NA,NA,30,50,50,60,50,50,30,50,NA,60,NA,85,30,NA,15,60,50,NA,NA,50,60,NA,"Female",NA,NA,NA,NA,0
"3008","Suburb","Small Town Person",7,"Republican",0,60,30,85,40,80,15,85,30,0,15,40,70,40,50,15,50,70,50,70,50,50,0,30,15,70,50,15,50,5,"Female","White","Some College",NA,47,1
"3009","Suburb","City Person",2,"Democrat",70,5,85,0,90,0,90,10,85,75,70,NA,25,50,95,60,80,75,90,50,90,90,90,75,55,50,70,70,55,2,"Female","Hispanic","Bachelor's Degree",21,45,1
"3010","City","Small Town Person",7,"Republican",0,85,0,100,0,100,50,70,15,0,40,70,100,70,40,70,50,85,50,100,15,40,15,30,40,50,70,50,70,7,"Female","Other","High School",10,36,0
"3011","City","City Person",2,"Democrat",100,50,100,0,100,0,100,50,85,100,100,50,50,85,85,50,70,100,100,100,50,100,100,100,50,50,50,100,100,NA,"Male","White","Some College",5,80,1
"3012","City","City Person",1,"Democrat",60,30,60,0,70,0,50,85,85,50,60,40,30,50,85,40,100,85,85,70,85,85,100,60,50,40,30,85,60,4,"Female","Asian","Some College",8,19,1
"3013","Small Town","Suburb Person",1,"Democrat",70,30,100,15,85,0,100,30,100,85,85,60,60,50,100,50,100,85,100,60,100,85,100,100,70,70,70,70,85,4,NA,"White","Graduate Degree",NA,NA,0
"3014","Small Town","Country Person",7,"Republican",0,100,0,100,0,100,70,50,50,50,60,50,70,40,50,40,50,50,50,100,50,100,0,0,50,50,85,15,70,6,"Female","White","Graduate Degree",13,44,1
"3015","Rural Area","Suburb Person",7,"Republican",15,70,30,60,30,60,15,80,30,2,90,40,70,40,40,40,40,80,85,85,40,85,40,10,1,70,NA,40,60,6,"Male","White","Some College",NA,NA,1
"3016","Suburb","City Person",1,"Democrat",85,0,85,0,85,0,90,0,85,90,70,30,20,60,70,40,50,40,80,40,70,100,85,75,65,30,40,75,85,2,"Male","White","Bachelor's Degree",20,34,1
"3017","City","City Person",3,"Democrat",50,0,50,0,60,0,85,0,30,100,100,15,15,30,100,15,15,0,70,30,85,100,70,50,100,40,85,85,85,1,"Male","White","Bachelor's Degree",2,30,1
"3018","Small Town","Small Town Person",4,"Independent",50,85,50,85,40,85,70,70,60,50,50,70,100,85,60,40,85,100,85,100,85,60,40,50,30,50,100,30,70,5,"Female","White","Bachelor's Degree",1,71,1
"3019","Small Town","Suburb Person",3,"Democrat",70,30,70,0,85,0,100,15,70,70,40,15,15,60,85,30,50,85,85,40,50,100,85,60,60,70,70,85,85,3,"Male","White","Graduate Degree",15,69,1
"3020","Small Town","City Person",3,"Democrat",70,0,85,0,70,0,85,30,70,60,60,40,30,40,70,40,60,60,70,70,70,70,70,70,85,40,60,70,70,3,"Male","White","Some College",NA,69,1
"3021","Small Town","Small Town Person",2,"Democrat",100,60,60,15,85,0,50,50,50,50,100,100,50,60,100,50,70,60,50,100,60,70,100,70,50,60,NA,100,100,5,"Female","White","High School",1,34,0
"3022","City","Small Town Person",6,"Republican",0,85,15,85,50,50,50,50,NA,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,"Female","Asian","Some College",6,46,0
"3023","Suburb","Suburb Person",5,"Republican",40,70,60,85,50,40,85,30,85,70,70,40,60,85,50,70,50,85,100,85,50,100,15,70,30,40,100,100,100,5,"Male","White","Less than High School",4,64,1
"3024",NA,NA,3,"Democrat",70,15,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","Hispanic","Bachelor's Degree",21,55,0
"3025","Suburb","Suburb Person",5,"Republican",60,50,30,15,55,25,50,50,35,25,50,25,60,75,50,35,40,60,50,70,50,90,50,25,0,75,50,40,95,5,"Male","Hispanic","Bachelor's Degree",16,63,1
"3026","City","City Person",1,"Democrat",100,0,100,0,100,0,100,0,100,100,100,60,30,85,100,30,100,50,100,60,100,100,100,100,85,70,85,100,85,2,"Female","White","Graduate Degree",20,71,1
"3027","Rural Area","Small Town Person",7,"Republican",15,100,0,85,0,75,15,100,30,0,50,30,100,90,50,90,100,100,100,100,0,50,0,30,0,100,50,6,35,6,"Male","White","Less than High School",20,19,1
"3028","Rural Area","Country Person",7,"Republican",15,70,15,85,30,85,50,85,30,30,30,85,85,70,50,40,40,100,85,85,50,60,0,30,15,70,85,15,60,6,"Male","White","Bachelor's Degree",4,47,1
"3029","Suburb",NA,3,"Democrat",60,15,60,0,60,0,85,0,50,70,50,50,40,40,70,NA,50,40,50,40,50,60,50,70,60,50,50,50,60,3,"Male","White","Bachelor's Degree",21,48,1
"3030","Suburb","Small Town Person",2,"Democrat",65,30,70,20,85,15,80,50,85,85,85,85,85,85,85,70,85,85,85,85,85,85,85,85,60,60,85,85,85,2,"Male","White","Graduate Degree",20,34,1
"3031","Suburb","City Person",4,"Independent",60,15,70,0,60,30,70,70,70,40,50,40,60,60,50,60,70,100,100,70,50,85,60,70,40,60,70,70,85,4,"Male","Black","Some College",20,49,1
"3032",NA,NA,6,"Republican",100,90,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Female","White","High School",14,66,0
"3033","City","City Person",2,"Democrat",70,60,100,40,100,70,100,70,70,70,70,100,70,100,0,100,70,70,70,100,0,100,70,70,NA,NA,100,100,100,4,"Male","Hispanic","Less than High School",12,40,1
"3034",NA,NA,5,"Republican",0,70,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Female","White","Some College",7,53,0
"3035","Small Town","City Person",2,"Democrat",30,40,40,40,40,40,100,50,30,50,85,60,50,40,50,40,50,85,50,100,50,85,50,30,50,NA,NA,NA,85,NA,"Female","White","Some College",8,50,1
"3036","Small Town","Small Town Person",6,"Republican",0,85,0,85,0,85,70,50,50,15,50,15,70,85,50,50,50,100,100,70,50,60,40,15,0,50,50,0,50,6,"Male","White","Some College",18,35,1
"3037","Suburb","Small Town Person",5,"Republican",0,85,0,100,0,100,0,85,0,0,0,30,85,60,0,0,0,70,70,70,0,50,0,0,0,70,70,0,0,7,"Female","White","Bachelor's Degree",22,55,1
"3038","City","Small Town Person",3,"Democrat",50,50,60,0,60,15,70,70,60,60,50,40,40,30,85,50,70,85,70,60,70,50,60,60,60,50,50,85,60,3,"Female","Black","Some College",8,NA,1
"3039","Suburb","Suburb Person",2,"Democrat",50,50,70,0,50,40,60,70,50,50,NA,50,50,70,70,60,50,100,50,50,70,70,NA,50,50,50,NA,70,70,NA,"Female","Asian","Bachelor's Degree",15,59,1
"3040","City","City Person",4,"Independent",50,40,50,50,50,50,100,50,50,50,70,40,40,30,50,60,50,50,40,50,70,85,50,70,50,NA,NA,85,40,NA,"Male","White","Bachelor's Degree",4,34,0
"3041","Small Town","Suburb Person",5,"Republican",20,80,15,70,5,72,65,50,30,20,70,60,80,75,50,75,65,95,80,90,30,80,10,20,10,25,90,75,75,5,"Female","White","Graduate Degree",18,49,1
"3042","Suburb",NA,1,"Democrat",70,0,85,0,85,0,100,60,85,60,50,60,60,50,85,60,100,85,100,40,85,85,100,100,60,60,50,85,85,2,"Female","Black","Graduate Degree",18,64,1
"3043",NA,NA,4,"Independent",80,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Male","Other",NA,10,29,0
"3044","City","Small Town Person",2,"Democrat",70,15,100,0,100,15,100,85,60,50,50,60,50,40,50,40,50,100,50,30,50,50,100,40,50,40,50,60,100,NA,"Female","Black","Some College",6,53,1
"3045","Rural Area","Country Person",7,"Republican",15,70,15,100,40,100,70,100,100,85,50,100,85,100,30,85,40,100,100,85,0,100,85,60,85,85,100,70,100,4,"Male","White","High School",12,56,1
"3046","Rural Area","Country Person",4,"Independent",10,25,10,30,15,60,60,30,15,30,60,40,70,50,15,30,50,40,50,15,15,70,30,30,15,50,70,40,50,5,"Male","Native American","Bachelor's Degree",4,57,0
"3047","City",NA,3,"Democrat",90,0,90,0,85,0,100,0,100,100,70,70,50,60,100,60,85,70,100,70,100,100,100,85,70,85,70,85,100,2,"Male","White","Bachelor's Degree",7,56,0
"3048","Small Town","Country Person",1,"Democrat",85,0,100,0,100,0,100,15,85,85,60,60,15,70,85,0,60,100,85,85,70,100,85,70,85,60,70,100,100,4,"Male","White","High School",3,65,0
"3049","Small Town","Country Person",5,"Republican",40,60,15,15,30,30,70,NA,50,50,50,40,60,70,NA,40,50,70,NA,40,NA,85,40,30,30,50,85,30,60,4,"Female","White","Bachelor's Degree",4,66,1
"3050","Suburb","Suburb Person",4,"Independent",60,40,60,40,70,0,70,0,60,70,80,50,60,70,60,80,60,70,90,70,80,90,90,80,60,60,NA,80,90,4,"Male","White","Graduate Degree",17,68,1
"3051","City","Small Town Person",1,"Democrat",85,40,90,30,85,0,50,60,80,60,70,50,50,70,70,70,50,80,50,70,70,50,60,80,70,70,70,85,85,4,"Female","Hispanic","Less than High School",10,60,1
"3052","City","Small Town Person",3,"Democrat",60,0,70,0,85,0,100,0,85,60,70,40,15,85,85,50,50,40,50,40,85,100,85,70,60,60,50,70,70,3,"Male","Asian","Bachelor's Degree",20,60,1
"3053","Small Town","Small Town Person",2,"Democrat",50,40,50,40,40,60,40,NA,50,15,30,15,50,70,100,50,85,100,100,100,100,60,30,0,40,40,70,70,50,4,"Male","White","High School",20,59,1
"3054",NA,NA,3,"Democrat",60,0,70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Female","Hispanic","Bachelor's Degree",21,34,0
"3055","Suburb","Suburb Person",1,"Democrat",100,0,100,0,85,0,100,40,85,90,80,40,40,80,100,30,100,85,95,85,95,100,95,90,60,50,75,80,100,1,"Male","Asian","Graduate Degree",13,33,1
"3056","Rural Area","Country Person",7,"Republican",30,70,0,85,50,100,30,50,70,50,70,15,60,70,70,50,50,50,100,85,60,60,30,50,50,40,85,60,60,2,"Male","White","Some College",2,55,1
"3057","City","Suburb Person",2,"Democrat",60,50,40,40,60,30,40,NA,60,70,50,40,40,50,60,50,50,85,50,40,30,70,100,50,50,40,NA,50,70,3,"Female",NA,"Bachelor's Degree",NA,NA,1
"3058","Small Town","Small Town Person",7,"Republican",0,85,0,70,0,70,85,85,30,15,70,60,85,60,60,15,40,85,85,85,50,85,40,30,0,0,85,50,85,6,"Female","White","Some College",9,67,1
"3059","Suburb","City Person",4,"Independent",NA,NA,70,50,85,85,100,85,NA,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,4,"Male","White","Bachelor's Degree",NA,42,0
"3060","City","City Person",6,"Republican",40,50,0,70,0,85,15,100,50,15,70,70,85,85,0,50,50,85,85,70,0,85,0,15,0,85,60,0,15,6,"Male","Asian","Bachelor's Degree",19,59,1
